,car,body,mileage,engV,engType,registration,year,drive
5382,28,1,8,1.4,3,1,2013,0
4214,21,1,93,1.6,3,1,2008,0
116,27,3,112,2.0,3,1,2008,0
5252,12,1,179,1.4,1,1,1992,0
799,26,3,200,2.6,1,1,2001,2
6650,42,3,187,1.6,3,1,2007,0
1007,40,1,30,1.6,3,1,2013,0
4185,33,4,165,1.5,0,1,2012,0
2278,3,3,44,2.5,0,0,1997,2
8301,42,3,137,1.6,3,1,2008,0
775,3,0,180,3.0,0,1,2011,1
256,42,1,60,1.6,3,1,2013,0
1111,26,2,260,2.7,0,1,2005,2
1798,40,3,58,2.5,3,1,2015,0
5738,42,1,75,1.5,1,1,1995,0
7468,28,3,330,2.0,3,1,1986,0
3358,26,0,120,5.5,3,1,2008,1
3148,3,3,200,1.8,3,1,2004,2
7759,26,2,0,1.6,3,1,2016,2
4578,43,3,122,2.0,3,1,2012,0
685,3,0,73,2.0,3,1,2011,2
3711,33,5,1,1.5,0,1,2003,0
4220,21,0,150,2.2,0,1,2011,0
8440,28,3,181,3.0,3,1,2000,0
3516,35,3,187,2.0,3,1,2004,0
8016,8,2,120,1.4,3,1,2006,0
4351,43,4,280,1.9,0,1,1996,0
8815,42,3,11,1.5,3,1,2006,0
1406,43,0,1,2.0,0,1,2015,0
8131,23,0,160,4.7,3,1,2004,1
4601,43,3,161,1.8,3,0,1994,0
3152,26,5,300,2.2,0,1,2005,2
6626,13,5,200,2.0,1,1,1989,2
1076,27,0,1,2.0,3,1,2016,1
6450,43,3,290,1.8,1,1,1997,0
4991,17,1,97,1.4,3,1,2007,0
6301,40,1,103,1.6,3,1,2008,0
5270,25,3,200,2.0,0,1,1987,0
1550,3,3,277,2.0,3,1,1991,2
7246,33,0,0,1.5,0,1,2016,1
7120,2,2,12,1.8,3,1,2014,0
5658,40,1,98,1.3,2,1,2006,0
357,6,3,121,1.6,3,1,2008,0
2355,6,0,1,1.7,3,1,2015,1
2261,26,3,67,2.8,2,1,1995,2
2666,10,1,76,0.8,3,1,2007,0
7554,43,1,152,1.0,3,1,2000,0
4781,29,5,185,2.0,0,1,2008,0
3123,40,0,128,4.0,1,1,2007,1
1178,13,1,131,1.4,3,1,2010,0
900,2,1,24,2.8,2,1,2014,1
1599,43,2,38,2.0,0,1,2015,1
4729,40,0,139,4.0,1,1,2005,1
2792,10,3,172,1.3,1,1,2006,0
6060,26,5,280,2.9,0,0,1997,2
1540,3,3,11,2.5,0,1,1994,2
1481,33,4,95,1.5,0,1,2012,0
4341,42,3,93,1.5,2,1,2004,2
4758,42,3,11,1.5,3,1,1987,2
547,21,2,87,2.2,0,1,2010,1
1217,3,3,58,4.4,2,1,2011,2
3462,43,5,240,2.5,0,1,2007,0
3304,12,4,180,1.6,0,1,2011,0
6881,21,2,140,2.0,3,1,2007,0
1799,6,3,40,1.8,3,1,2011,0
1875,3,0,64,2.0,0,1,2015,1
7371,16,0,90,2.4,3,0,2011,1
3346,42,1,188,1.3,3,1,1993,0
6742,2,3,175,3.0,3,1,2006,1
2199,26,3,184,1.8,1,1,2008,2
936,26,5,344,2.2,0,1,2006,2
2976,30,5,130,5.3,3,1,2010,1
5916,26,3,175,3.2,0,0,2006,2
8341,18,2,75,3.5,3,1,2006,2
1095,26,5,250,2.2,0,1,2006,2
4516,26,5,236,2.2,0,1,2012,2
3395,29,4,220,2.0,0,1,2009,0
7672,43,3,320,1.8,1,1,1990,0
7163,42,4,300,1.2,3,1,1980,2
7231,43,1,148,1.4,2,1,2008,0
5529,15,3,24,1.5,1,1,2014,0
1861,16,1,82,1.8,3,1,2009,0
1528,40,0,105,2.0,1,1,2011,1
709,23,3,64,4.6,3,1,2010,1
3713,33,3,230,1.5,0,1,2007,0
3828,26,3,196,2.0,1,1,2000,2
4850,31,1,120,1.4,3,1,2006,0
644,40,3,185,1.6,3,1,2008,0
3540,40,2,421,1.3,1,1,1988,0
5363,13,4,91,1.6,3,1,2012,0
8488,43,4,248,2.0,0,0,2005,0
77,26,2,107,2.2,0,1,2010,0
6865,14,5,120,2.5,1,1,2008,2
4779,26,3,247,4.0,0,1,2003,2
2593,34,3,20,1.4,3,1,2015,0
4395,26,0,65,4.5,3,1,2010,1
5779,8,5,130,1.6,0,1,2009,0
4495,6,3,90,1.5,3,1,2007,0
1143,23,3,125,3.5,2,1,2007,0
8111,33,5,146,1.5,0,1,2012,0
3623,29,3,234,2.2,2,0,2002,0
6332,6,3,90,1.8,3,1,2011,0
2684,13,1,6,1.0,3,1,2015,0
1399,43,0,158,2.5,0,1,2007,1
7776,36,2,126,0.6,1,1,2001,2
358,25,3,0,2.0,2,1,2016,0
3878,26,3,134,3.0,0,1,2010,2
2577,21,3,64,1.6,1,1,2013,0
1920,21,0,1,1.7,0,1,2015,0
354,3,2,220,2.5,3,1,1997,2
25,3,0,0,2.0,0,1,2015,1
554,3,2,98,3.0,3,1,2007,2
2016,17,0,220,2.9,0,0,2002,1
7156,26,3,366,3.2,1,1,1991,2
7076,8,3,200,2.0,0,1,2000,0
5407,10,3,197,1.5,1,1,2003,0
3260,10,3,83,1.5,1,1,2007,0
8619,33,2,169,2.3,0,1,2013,0
4250,26,3,245,2.8,1,1,1998,2
7782,31,3,10,1.9,1,1,1990,0
8360,31,2,91,1.6,3,1,2009,0
5489,33,3,0,1.2,3,1,2016,0
2652,10,3,200,1.5,3,1,2003,0
4001,23,3,185,4.6,3,1,2008,2
3676,42,2,1,1.5,3,1,1988,1
957,25,5,107,2.0,3,1,2008,0
4092,2,0,0,2.98,0,1,2016,1
2119,43,0,0,3.0,0,1,2016,1
1651,3,3,69,2.0,3,1,2008,2
5183,43,4,165,1.4,3,1,2013,0
7313,43,5,124,2.0,0,1,2013,0
8184,21,1,94,1.6,0,1,2007,0
7891,36,2,7,1.0,3,1,2014,2
3071,29,3,64,1.7,0,1,2013,0
