,car,body,mileage,engV,engType,registration,year,drive
831,43,3,87,1.6,3,1,2011,0
6929,28,2,96,3.5,3,1,2008,0
3547,17,3,134,2.0,1,1,2012,0
6080,26,3,150,5.5,3,1,2008,1
5389,2,4,316,2.6,1,1,1997,1
2699,28,5,69,1.4,3,1,2010,0
3738,27,1,250,1.3,1,1,2006,0
470,17,0,106,2.0,1,1,2007,1
2162,27,0,210,2.4,1,1,2007,1
6680,45,3,120,1.2,3,1,2008,0
7101,18,3,49,2.5,3,1,2013,2
262,16,3,145,2.0,1,1,2008,0
5253,3,3,65,2.0,3,1,2013,2
2442,2,2,170,3.0,0,1,2010,1
762,35,1,163,1.8,3,1,2006,0
1128,20,2,257,2.5,0,1,1997,1
4446,21,3,69,1.6,1,1,2013,0
5227,33,4,180,1.6,1,1,2010,0
6802,0,3,145,3.2,1,1,2005,0
3739,29,5,154,1.3,0,1,2011,0
4392,19,3,78,3.0,3,1,2013,2
4287,13,1,350,2.0,3,1,1986,2
6719,23,3,200,3.0,3,0,1997,2
3908,30,3,37,1.5,3,1,2013,0
1222,43,5,280,1.6,0,1,2011,0
6092,3,3,38,2.0,3,1,2013,2
3976,41,0,117,2.7,3,1,2008,1
3447,17,3,87,2.4,3,1,2011,0
69,32,0,135,4.8,3,1,2008,1
5228,17,3,67,1.8,3,1,2012,0
2717,31,2,112,1.6,0,1,2007,0
4745,43,3,78,1.6,3,1,2012,0
7188,26,3,358,5.0,1,1,2003,1
2371,16,3,0,1.6,3,1,2016,0
4482,3,2,85,4.4,3,1,2004,2
111,40,0,120,4.0,3,1,2007,1
6619,26,3,1,2.0,0,1,1979,2
1042,26,4,400,2.2,0,0,2002,0
1958,26,3,300,2.7,0,1,2003,2
2848,9,3,147,1.4,3,1,2007,0
955,13,0,109,2.0,0,1,2010,1
5048,44,3,135,1.6,3,1,2009,0
178,2,3,225,2.4,1,1,1998,0
4577,29,5,220,1.8,3,1,2007,0
7054,27,3,160,2.0,1,1,2007,0
3662,43,5,1,2.5,0,1,2000,0
670,2,3,259,3.0,0,0,2005,1
7235,30,0,116,2.4,3,1,2006,1
3372,42,4,50,1.5,3,1,2000,0
1284,43,3,250,1.9,0,0,2000,0
4705,22,0,138,4.4,3,1,2008,1
494,38,0,160,3.0,3,1,2006,1
4087,2,0,28,3.0,0,1,2014,1
2354,27,2,1,2.5,0,1,2016,1
1864,17,5,170,1.6,3,1,2005,0
650,3,3,270,1.8,3,0,1995,2
2078,25,1,93,1.6,1,1,2011,0
6144,43,5,193,2.5,0,1,2005,0
7967,20,2,210,5.2,1,1,1996,1
5581,10,3,132,1.5,3,1,2005,0
2030,26,5,245,2.2,0,1,2002,0
3377,12,5,193,1.4,3,1,2007,0
924,13,0,113,2.0,0,1,2014,1
5178,26,3,440,2.0,3,1,1978,2
5496,21,3,10,2.0,3,1,2009,0
684,43,4,161,2.0,0,1,2008,0
6383,43,3,272,2.8,1,1,2002,1
3712,27,0,96,2.5,0,1,2011,1
6244,42,1,70,1.6,3,1,2008,0
5192,29,4,210,2.5,0,0,2001,2
4284,42,3,138,1.6,1,1,2011,0
826,40,3,142,2.4,3,1,2007,0
7390,13,1,99,1.6,3,1,2012,0
6329,8,5,215,1.9,0,1,2006,0
3198,42,3,160,1.6,3,1,2007,0
3021,2,3,365,4.2,1,1,1995,1
3825,19,3,17,3.0,3,1,2009,2
7587,3,3,240,2.0,0,1,2001,2
7249,33,3,0,1.5,0,1,2016,0
7624,18,0,55,4.5,1,1,2007,1
3544,21,0,125,2.0,1,1,2010,0
6328,35,3,234,2.0,1,1,2006,0
1739,35,3,72,1.8,3,1,2013,0
2735,2,3,245,3.0,0,1,2006,1
834,40,2,60,4.5,0,1,2013,1
2184,26,5,262,2.3,0,1,1998,2
6101,0,0,82,3.7,3,1,2008,1
3085,17,3,28,1.4,3,1,2008,0
1927,23,0,162,3.3,3,1,2006,1
1961,43,0,36,3.0,0,1,2015,1
1361,33,5,73,1.5,0,1,2012,0
1662,6,3,132,1.8,1,1,2007,0
3015,10,1,11,1.5,1,1,2013,0
1110,3,3,170,2.2,3,1,2001,2
4747,35,3,235,1.9,2,0,2006,0
822,6,2,80,6.0,3,1,2006,2
1541,39,0,92,2.0,3,1,2006,1
3938,33,3,215,1.9,0,0,2005,0
392,43,2,180,1.9,0,1,2010,0
2857,43,1,195,1.4,0,1,2004,0
6057,21,2,112,1.6,0,1,2010,0
2807,10,3,158,1.3,1,1,2005,0
7576,6,3,75,1.6,1,1,2012,0
7862,13,3,79,2.0,3,1,2012,0
5685,13,1,170,1.3,3,1,2004,0
8550,6,1,52,1.4,2,1,2014,0
618,17,3,59,1.4,3,1,2012,0
2065,43,5,224,2.5,0,1,2006,0
8303,36,2,181,0.7,3,1,2003,2
4574,30,3,66,1.3,3,1,2007,0
2780,33,4,117,1.5,0,1,2008,0
2680,3,0,35,3.0,3,1,2011,1
8457,3,3,250,2.0,3,1,2003,2
1800,28,1,140,1.6,3,1,2007,0
1135,28,0,56,2.0,3,1,2012,1
7877,23,3,146,3.0,3,1,2006,2
4335,23,0,215,3.0,3,1,2006,1
458,26,5,190,2.2,0,1,2009,2
2718,29,3,260,2.5,3,0,1997,0
7627,22,0,0,2.2,0,1,2016,1
8316,42,3,202,1.5,1,1,2006,0
4183,29,3,180,2.2,1,1,2006,0
6654,27,0,200,2.0,1,1,2006,1
5371,30,0,270,5.4,1,1,1998,1
8174,33,4,180,1.5,0,1,2012,0
4480,35,1,200,2.0,3,1,2007,0
8343,40,2,180,2.5,0,1,2007,1
8395,2,0,242,2.5,0,0,2003,1
2034,35,1,172,1.6,3,1,2006,0
7130,3,4,159,3.0,0,1,2008,2
6229,3,0,280,3.0,0,1,2005,1
8827,42,3,130,1.5,1,1,2007,0
7667,26,5,368,2.2,0,1,2000,0
918,25,0,205,2.3,1,1,2008,1
1240,32,0,211,4.5,3,1,2006,1
6839,3,3,134,4.4,3,1,2005,2
8284,35,3,89,1.6,3,1,2012,0
7219,42,3,65,1.6,3,1,2014,0
1355,40,3,157,3.5,3,1,2011,0
4859,2,3,320,2.8,3,1,1992,0
2904,35,3,99,1.6,3,1,2011,0
5316,8,3,200,2.0,3,1,2002,0
2723,17,3,0,2.0,3,1,2016,0
5937,25,3,250,2.5,3,1,1996,0
3077,16,3,130,2.4,3,1,2008,0
420,22,0,99,5.0,3,1,2010,1
7446,35,3,180,1.6,1,1,2002,0
8605,21,0,255,2.0,1,1,1997,1
1442,21,3,67,2.0,3,1,2011,0
1324,13,3,200,2.5,3,1,2001,0
1649,17,0,127,2.2,0,1,2012,1
5104,26,5,180,2.3,0,1,1998,0
3517,21,1,63,1.4,3,1,2010,0
5068,40,0,238,4.0,1,1,2004,1
3497,2,4,249,2.5,0,0,2004,0
3628,40,1,51,1.6,3,1,2013,0
1625,31,2,32,1.6,3,1,2013,0
7372,3,3,272,2.8,3,1,1996,2
8844,17,0,140,2.0,1,1,2011,0
6975,25,1,0,1.5,3,1,2016,1
4854,13,2,90,3.0,3,1,2000,1
5541,42,0,125,1.6,3,1,1985,1
2562,6,3,140,2.0,3,1,2007,0
6726,8,1,94,1.6,0,1,2013,0
8483,13,1,170,1.4,0,1,2007,0
5958,43,5,244,2.5,0,1,2001,0
4308,31,3,190,2.0,1,1,2007,0
7659,17,0,102,2.0,3,1,2008,1
1737,16,3,69,2.4,3,1,2012,0
8209,28,0,130,2.0,3,1,2008,1
2695,43,5,128,1.9,0,1,2010,0
2595,44,0,165,3.0,3,1,2008,1
5217,3,3,180,2.0,3,1,2002,2
1517,27,0,150,2.0,1,1,2007,1
3901,13,3,80,2.0,3,1,2011,0
1270,31,1,23,1.6,3,1,2012,0
5829,6,3,77,1.8,1,1,2011,0
5061,31,3,155,2.0,3,1,2007,0
4715,43,5,70,2.0,0,1,2013,0
7047,35,4,174,1.4,3,1,2001,0
8437,2,3,234,4.2,1,0,2004,1
5795,23,0,140,4.7,3,1,2006,1
4064,31,2,39,1.6,3,1,2009,0
603,32,3,29,3.0,3,1,2014,1
5770,29,0,290,2.4,1,1,1997,1
6323,33,5,212,1.5,0,1,2009,1
3649,8,5,1,1.6,0,1,2016,0
1871,3,4,125,3.0,0,1,2006,1
198,2,3,18,1.8,2,1,2015,0
8042,40,3,140,1.4,3,1,2012,0
4132,3,0,80,3.0,0,1,2012,1
1905,43,3,223,2.5,0,1,2007,0
5831,26,5,244,2.2,0,1,2000,0
3262,40,1,91,1.6,3,1,2007,0
5868,28,0,200,2.2,0,1,2006,1
3650,45,3,1,1.5,3,1,2015,0
8842,43,0,155,2.0,0,1,2011,1
4113,12,1,49,1.4,3,1,2007,0
5807,33,5,222,1.5,0,1,2009,0
4347,21,0,82,2.2,0,1,2013,1
7600,17,0,0,2.0,3,1,2016,1
7359,2,0,125,4.2,3,1,2008,1
6961,29,3,200,1.6,3,0,1996,0
1125,2,0,27,3.0,0,1,2013,1
362,38,3,125,2.0,3,1,2007,1
3685,29,3,270,2.0,1,1,1989,0
4548,29,4,246,2.2,0,1,2003,2
8718,40,3,150,2.4,3,1,2007,0
2024,3,3,237,2.5,3,1,1990,2
4555,33,1,127,2.0,1,1,2006,0
2502,43,0,173,3.0,0,1,2008,1
972,2,3,0,3.0,3,1,2016,1
1683,21,3,120,2.0,2,1,2007,0
2641,3,0,87,3.0,0,1,2011,1
363,3,3,78,2.0,3,1,2012,2
1315,32,0,117,4.8,3,1,2007,1
2300,22,0,95,5.0,3,1,2010,1
6574,26,3,260,3.0,0,1,1997,2
5054,35,4,198,1.6,0,1,2012,0
8080,26,0,140,5.5,1,1,2008,1
5566,38,3,75,2.0,3,1,2008,1
8636,6,4,99,1.8,1,1,2007,0
1223,44,0,164,2.4,0,1,2011,1
1902,26,3,76,6.0,3,1,2010,2
2381,33,3,90,1.4,1,1,2008,0
8128,32,0,153,4.8,3,1,2007,1
729,25,0,79,3.5,3,1,2008,1
1631,18,0,82,3.0,0,1,2012,1
8825,29,5,98,2.0,0,1,2013,0
240,6,3,80,1.5,3,1,2011,0
8672,42,1,107,1.6,3,1,2008,0
817,36,2,69,1.0,3,1,2009,2
2045,40,3,144,3.5,1,1,2007,0
5151,10,1,90,0.8,3,1,2006,0
868,43,1,41,1.0,3,1,2012,0
102,40,0,0,4.5,3,1,2016,1
803,27,0,120,3.0,3,1,2008,1
2007,43,5,159,1.9,0,1,2009,0
3318,29,3,190,2.2,3,1,2008,0
7347,12,4,124,1.3,0,1,2011,0
1269,18,0,1,3.0,0,1,2016,1
3046,26,5,75,2.0,0,1,2011,2
5096,43,3,230,2.0,1,1,1996,0
6833,42,1,121,1.4,3,1,2008,0
1247,43,5,230,2.0,0,1,2011,0
229,21,1,35,1.6,3,1,2012,0
6482,43,3,200,1.8,3,1,1989,0
5387,23,0,125,3.5,3,1,2013,1
1190,29,5,287,1.7,0,1,2003,0
604,4,2,20,6.0,3,1,2008,1
5101,17,0,72,2.0,1,1,2011,1
7633,12,4,112,1.4,2,1,2007,0
2254,30,3,15,0.7,2,1,2015,1
5189,13,5,216,1.8,0,1,2010,0
1426,17,3,140,1.5,0,1,2008,0
4688,26,3,180,2.2,0,1,2012,2
6107,40,3,66,2.5,3,1,2011,0
2066,40,3,147,2.4,3,1,2010,0
8076,2,3,58,2.0,3,1,2014,1
6568,27,2,68,1.8,3,1,2011,0
5804,8,5,160,1.9,0,1,2005,0
6920,21,0,34,2.0,1,1,2012,1
1676,27,0,78,2.4,3,1,2012,1
6376,2,3,90,2.2,1,1,1994,1
5974,26,5,280,2.2,0,1,2005,2
5734,7,3,97,3.5,3,1,2006,2
8100,42,1,15,1.5,3,1,1994,0
7447,2,4,200,2.7,3,1,2003,1
5369,27,0,11,2.5,0,1,2012,1
4251,45,3,85,1.2,3,1,2008,0
1017,2,0,71,2.0,3,1,2011,1
5638,40,2,220,1.8,3,1,2001,0
3059,16,3,113,1.8,1,1,2008,0
8324,21,3,115,1.6,1,1,2008,0
5739,29,3,169,2.0,3,1,2010,1
2395,40,3,126,1.6,3,1,2008,0
5599,43,5,300,2.5,0,1,2004,0
5289,25,0,95,2.3,1,1,2007,1
3235,2,4,253,1.8,1,0,1997,1
8664,33,4,200,2.0,1,1,1987,0
4278,23,3,110,4.6,3,1,2010,1
2779,10,1,72,0.8,3,1,2008,0
4080,35,4,109,2.0,3,1,2001,0
5043,2,3,330,2.4,3,1,1999,0
8202,43,0,84,3.0,0,1,2011,1
679,23,3,107,2.5,3,1,2007,2
1661,43,5,214,1.9,0,1,2001,0
3438,43,5,170,1.6,0,1,2012,0
8359,28,0,75,3.5,1,1,2009,1
4572,3,3,26,3.0,0,0,2001,2
8349,40,0,80,3.5,1,1,2012,1
528,27,0,197,3.0,1,1,2006,1
1460,43,3,197,2.0,3,1,1996,0
6496,28,0,89,1.6,3,1,2011,0
4273,9,3,9,1.4,3,1,2008,0
7650,24,2,119,1.4,0,1,2003,0
6964,26,3,300,2.0,1,0,1998,2
2155,3,0,1,2.0,0,1,2016,1
5480,33,3,101,2.0,3,1,1997,0
1120,18,0,1,2.5,3,1,2015,1
5777,3,3,245,3.0,0,1,2001,2
321,33,5,230,2.0,0,1,2009,0
606,3,0,250,3.0,0,1,2004,1
6054,43,2,181,1.6,0,1,2012,0
3128,13,1,52,1.4,3,1,2010,0
7425,28,0,95,5.6,3,1,2008,1
7825,8,5,265,2.0,0,1,2001,0
6115,43,0,130,2.5,0,1,2008,1
8369,28,3,48,2.5,3,1,2013,0
1714,38,0,0,2.0,0,1,2016,1
1686,19,3,56,2.0,3,1,2013,2
1536,30,0,42,2.4,1,1,2013,0
7972,6,3,160,2.0,1,1,2005,0
4410,15,3,108,1.5,1,1,2011,0
3466,8,4,149,1.4,3,1,2008,0
5605,43,3,250,2.8,1,0,2002,1
5946,16,3,178,1.8,3,1,2008,0
2500,29,5,108,2.0,0,1,2012,0
3674,42,1,150,1.5,3,1,1994,0
3319,23,3,178,3.0,1,1,2003,0
6580,43,3,88,1.8,1,1,1993,0
7601,30,0,100,2.2,1,1,2008,1
7198,43,3,220,1.8,1,1,2002,0
4543,43,5,121,2.0,0,1,2014,0
5548,33,5,300,1.9,0,1,2006,0
3837,31,5,362,2.0,0,1,2002,0
8625,16,3,84,2.0,3,1,2011,0
6700,13,2,0,2.2,0,1,2016,1
2305,29,5,145,2.0,0,1,2013,0
7661,28,5,153,3.5,2,0,2004,2
4256,23,4,127,3.0,1,1,2002,1
2773,35,1,260,1.6,1,1,2003,0
770,26,0,253,5.0,3,1,2003,1
5140,26,0,99,5.5,3,1,2009,1
5373,10,2,78,1.5,3,1,2011,0
4885,16,3,110,2.0,3,1,2011,0
4719,13,2,173,2.2,0,1,2007,0
6041,35,4,73,1.4,3,1,2007,0
1671,27,0,150,3.5,1,1,2008,1
7324,10,3,101,1.5,3,1,2008,0
3187,40,1,17,1.0,3,1,2016,0
3463,31,5,248,2.0,0,1,2006,0
3132,42,1,125,1.5,3,1,2003,0
7256,21,3,44,1.4,1,1,2013,0
907,25,3,87,1.3,3,1,2006,2
6378,17,3,190,2.0,3,1,2006,0
4175,31,2,88,1.6,3,1,2010,0
605,43,2,146,1.6,0,1,2012,0
1106,3,3,255,2.8,3,1,1998,2
283,38,0,210,2.0,3,1,2005,1
3546,29,4,140,1.6,3,1,2004,0
8245,40,1,74,1.4,2,1,2010,0
332,40,3,131,3.5,1,1,2007,0
6915,13,3,15,1.0,3,1,2015,0
68,16,3,52,3.5,1,1,2014,0
7360,40,3,80,2.5,1,1,2014,0
5108,33,3,97,1.6,3,1,2008,0
6317,35,3,6,1.8,3,1,2016,0
5555,29,4,212,2.5,0,1,2002,2
4889,27,3,207,1.6,1,1,2007,0
6861,33,2,141,1.5,2,1,2012,0
115,43,3,67,2.0,0,1,2013,0
5134,33,5,250,1.9,0,1,2006,0
1833,26,5,255,2.2,0,1,2004,0
8221,40,3,138,3.5,3,1,2007,0
8207,42,4,12,1.5,3,1,1998,2
5381,16,3,90,2.4,3,1,2010,0
7387,3,3,115,5.0,3,1,2008,1
588,26,3,84,5.5,3,1,2011,1
3045,31,1,68,1.0,3,1,2012,0
2453,35,3,196,1.8,3,1,2005,0
7088,28,3,25,1.6,3,1,2011,0
1478,3,0,160,4.8,1,1,2008,1
7114,30,3,95,1.8,1,1,2007,0
386,38,2,103,2.0,0,1,2009,1
1974,27,3,170,1.6,3,1,2004,0
1892,21,1,124,1.4,3,1,2008,0
2714,31,1,176,1.6,1,1,2005,1
7377,43,5,160,1.9,0,1,2009,0
747,40,0,0,4.5,0,1,2016,1
479,3,3,335,2.8,3,1,1996,2
5651,36,1,141,0.6,3,1,2001,2
3996,33,4,216,1.5,0,1,2012,1
4242,42,3,150,1.6,3,1,2008,0
1601,13,3,15,2.0,3,1,1988,2
5577,17,5,141,1.6,3,1,2005,0
8017,27,3,136,2.0,3,1,2008,0
7455,12,2,200,2.0,1,1,1996,0
7522,43,5,253,2.5,0,1,2008,0
8737,37,0,140,2.0,0,1,2007,1
7392,40,0,119,4.0,1,1,2008,1
7181,17,3,71,1.4,2,1,2008,0
3620,42,3,200,1.6,3,1,1978,2
3111,43,2,240,2.5,0,1,2005,2
1276,10,3,190,1.5,3,1,2001,0
1483,33,5,159,2.0,0,1,2010,0
6235,25,0,41,2.2,0,1,2014,1
1852,13,0,87,2.5,3,1,2010,1
4068,33,3,140,1.4,3,1,2011,0
7000,25,2,99,1.6,3,1,2009,0
686,40,3,189,2.4,1,1,2007,0
2360,31,1,1,1.6,0,1,2015,0
1796,3,3,241,2.0,3,1,1998,2
8041,43,3,133,1.6,3,1,2012,0
7405,21,3,11,1.4,3,1,2015,0
3312,17,5,148,2.5,0,1,2008,2
7326,25,3,25,2.0,3,1,2015,0
97,40,0,40,2.7,3,1,2011,1
6493,30,3,410,1.6,1,1,2015,0
2349,42,0,1,1.7,3,1,2015,1
5525,33,5,142,1.9,0,1,2007,0
8684,42,1,123,1.6,3,1,2009,0
4796,29,1,85,1.6,3,1,2012,0
4707,26,0,16,3.0,0,1,2013,1
8403,23,0,167,3.5,3,1,2007,1
462,36,1,91,0.6,3,0,2002,2
4993,27,0,140,2.4,1,1,2007,1
7763,26,0,242,2.7,0,1,2005,1
7546,23,3,179,2.2,0,0,2006,0
3105,16,0,122,2.4,1,1,2007,1
5507,27,3,106,2.0,1,1,1997,0
6467,39,0,136,2.0,3,1,2007,1
6693,43,5,143,2.0,0,1,2012,0
329,23,0,60,5.7,3,1,2011,1
6485,28,0,70,2.0,3,1,2010,0
4171,13,5,600,2.4,0,1,2001,2
6129,10,3,1,1.5,1,1,2007,0
7293,25,3,67,1.6,3,1,2009,0
5391,31,3,205,2.2,1,1,2004,0
1757,6,3,120,1.6,3,1,2007,0
7400,40,0,45,3.5,3,1,2015,1
8370,13,3,96,1.6,3,1,2011,0
7346,6,2,1,2.0,3,1,2016,2
1243,42,1,137,1.4,1,1,2010,0
2108,26,5,281,2.2,0,1,2004,2
2503,29,2,202,2.0,0,1,2008,0
4793,26,2,230,1.8,3,1,2006,2
1680,33,5,1,1.6,0,1,2015,0
7211,39,1,114,1.6,3,1,2009,0
6706,13,0,0,2.0,0,1,2016,1
4266,3,2,26,2.0,0,1,2015,2
483,3,0,152,3.0,0,1,2008,1
6211,19,3,196,3.0,3,1,2007,1
1402,10,3,128,1.5,1,1,2008,0
6331,43,3,500,1.9,0,1,1995,0
4944,38,2,165,2.0,3,1,2007,1
5572,14,5,95,2.9,1,1,2011,2
2640,40,0,80,4.0,3,1,2013,1
2448,23,0,150,4.7,1,1,2007,1
6819,33,4,184,1.5,0,1,2011,0
5713,35,1,145,1.2,3,1,2007,0
6830,21,0,0,2.2,0,1,2015,1
7688,17,1,76,1.1,3,1,2011,0
4717,33,4,150,1.9,0,0,2003,0
6199,26,5,400,2.2,0,1,1999,0
415,2,0,205,4.2,1,1,2007,1
3338,3,2,160,3.0,3,1,2011,2
6414,6,3,105,2.5,3,1,2007,0
8803,10,3,87,1.6,3,1,2008,0
3234,10,3,169,1.5,3,1,2008,0
5380,27,0,112,3.0,1,1,2008,1
1987,0,3,150,3.5,1,1,2008,1
3435,6,3,96,1.6,1,1,2008,0
2789,28,0,100,2.5,3,1,2006,1
8155,21,3,250,1.8,3,1,1997,0
4819,28,3,283,2.0,1,1,1996,0
2635,29,5,145,1.9,0,1,2006,0
2611,10,3,68,1.5,1,1,2007,0
2402,43,4,115,1.8,3,1,2012,0
3670,26,0,210,3.2,0,1,2007,1
1501,26,3,162,5.5,3,1,2007,1
882,3,0,117,3.0,3,1,2011,1
7811,15,3,175,1.6,1,1,2008,0
1881,29,3,336,2.0,1,1,1998,2
6375,10,2,182,1.5,3,1,2008,1
6773,44,3,168,2.0,3,1,2000,0
3294,12,5,221,2.0,0,1,2007,0
2363,22,0,45,5.0,3,1,2013,1
5287,35,1,60,1.2,3,1,2011,0
1865,3,3,334,2.0,0,0,1999,2
2298,42,3,130,1.6,3,1,2005,0
2012,34,1,98,1.6,3,1,2009,0
5676,27,0,139,2.4,1,1,2011,1
2428,16,2,82,2.4,3,1,2008,0
5469,40,3,185,3.0,1,1,2004,0
8689,40,5,1,3.5,3,1,2016,1
1978,43,5,260,2.5,0,1,2008,0
1001,26,5,290,2.2,0,1,1999,0
361,13,1,150,1.4,3,1,2007,0
8477,37,0,42,2.0,0,1,2014,0
8334,43,3,143,2.0,0,1,2010,0
6862,26,2,250,3.2,0,1,2007,1
3972,42,0,117,1.7,3,1,2008,1
3051,27,3,145,2.0,3,1,2009,0
3860,29,4,143,1.91,0,1,2008,0
4599,2,3,177,4.2,3,1,2008,1
3378,42,3,96,1.6,1,1,2008,0
265,43,5,240,1.9,0,1,2005,0
4145,17,3,115,1.5,0,1,2009,0
127,3,2,163,4.8,3,1,2008,1
3436,10,3,126,1.5,3,1,2007,0
4935,42,3,1,1.6,3,1,1977,2
1170,2,0,130,3.0,0,1,2010,1
2196,39,0,130,2.7,3,1,2007,1
1208,45,1,189,1.3,1,1,2004,0
3911,18,0,137,4.5,1,1,2004,1
7459,2,4,225,2.5,0,1,2004,1
1579,3,3,270,2.0,0,0,1998,2
3349,43,1,182,1.9,0,0,1998,0
2672,29,1,188,1.3,0,1,2005,0
1695,22,0,190,3.6,0,1,2008,1
6314,33,2,227,1.4,1,1,2005,0
2698,26,5,0,2.2,0,1,2016,2
7539,33,5,64,2.0,0,1,2014,0
2031,29,4,95,1.4,3,1,2012,0
1562,2,4,240,2.0,3,1,2002,0
6051,40,1,118,1.6,3,1,2008,0
5485,3,3,155,2.0,0,1,2012,2
7250,17,3,50,1.6,3,1,2013,0
7053,33,1,148,1.5,0,1,2012,0
4310,35,3,91,1.8,3,1,2012,0
6796,3,0,215,3.0,0,1,2006,1
4671,26,3,134,5.0,3,1,2008,1
2931,29,1,240,1.8,3,0,1998,0
8616,33,5,149,1.5,0,1,2013,0
2817,37,0,51,2.0,0,1,2011,1
1600,3,3,300,3.0,0,0,1999,2
5631,13,0,169,2.0,0,1,2008,1
7263,29,5,305,1.9,0,1,2005,0
2505,23,0,180,3.0,1,1,2004,1
4486,26,3,190,2.6,3,1,2001,2
6127,42,3,79,1.6,1,1,2012,0
3090,31,3,240,1.8,3,1,2005,0
3819,35,4,140,1.6,0,1,2012,0
2775,35,3,105,1.6,0,0,2012,0
1630,3,3,290,2.0,0,0,1999,0
300,17,3,98,1.4,3,1,2011,0
0,13,0,68,2.5,1,1,2010,1
1563,3,3,350,2.5,0,1,1998,2
4126,2,0,140,3.0,0,1,2013,1
4992,40,3,122,7.2,3,1,2011,0
3703,28,3,1,2.0,3,1,1994,0
5483,13,1,2,2.0,1,1,1987,2
8302,25,5,212,1.8,3,0,2004,0
912,12,5,128,1.3,0,1,2013,0
15,26,0,0,3.0,3,1,2016,1
365,28,0,0,1.6,3,1,2016,0
2912,21,3,72,2.0,1,1,2007,0
4184,17,4,3,1.6,0,1,2014,0
373,22,0,70,4.4,0,1,2012,1
8,26,3,125,2.2,0,1,2010,2
7671,13,5,31,1.5,0,1,2015,0
8489,16,1,228,1.7,0,0,2003,0
3684,23,3,118,3.5,2,1,2007,0
1126,27,0,129,2.5,0,1,2007,1
7075,43,1,230,1.6,3,1,2000,0
6687,3,0,210,3.0,0,0,2006,1
4135,3,0,1,2.0,0,1,2016,1
3730,29,1,110,1.2,3,0,1998,0
4317,2,3,450,2.5,0,0,1996,0
4207,26,3,240,3.2,2,0,2005,2
379,43,4,210,1.9,0,1,2008,0
140,22,0,139,3.6,0,1,2008,1
2544,22,0,136,2.2,0,1,2010,1
8274,35,4,300,1.3,1,1,1996,0
1181,2,4,257,2.5,0,1,2003,0
8105,33,5,171,1.5,0,1,2013,0
1480,29,4,240,2.2,1,0,2001,0
6672,21,0,202,2.5,0,1,2007,1
1422,26,5,0,2.2,0,1,2016,2
681,42,3,67,1.6,3,1,2013,0
1530,26,5,207,2.2,0,1,2003,0
1658,29,3,103,2.2,1,1,2008,0
8787,23,0,270,4.7,1,1,2005,1
2859,43,0,178,3.0,0,1,2008,1
6614,3,1,79,1.6,3,1,2013,2
6456,43,0,194,3.2,1,1,2004,1
2424,29,5,177,2.0,0,1,2012,0
6247,13,5,45,1.8,0,1,1999,0
1521,43,5,181,1.6,0,1,2011,0
2989,26,3,97,1.8,3,1,2012,2
3230,27,3,98,2.0,3,1,2009,0
6426,3,3,1,1.5,3,1,2015,2
967,36,2,53,1.0,3,1,2012,2
3126,28,1,64,1.6,3,1,2012,0
6271,43,2,200,1.9,0,1,2007,0
7884,40,1,160,1.0,3,1,1999,0
6010,33,4,215,1.5,0,1,2008,0
4704,26,3,1,3.0,0,1,2016,1
8747,42,3,87,1.3,3,1,1992,2
8721,13,3,250,2.0,3,1,1990,2
227,33,4,185,1.5,0,1,2011,0
5041,3,3,280,3.0,0,0,1999,2
7129,21,5,300,2.2,0,1,1998,2
459,22,0,57,3.0,0,1,2013,1
8839,26,1,155,1.5,3,1,2005,0
5907,43,3,2,1.8,3,1,1989,0
8002,43,5,258,2.5,0,1,2001,0
5173,26,2,248,2.0,3,0,1999,2
477,26,2,120,2.6,3,1,2004,2
8628,27,3,148,1.6,3,1,2008,0
3248,33,1,21,1.6,3,1,2011,0
4414,29,3,1,2.0,1,0,1999,2
2560,43,4,187,2.0,0,1,2008,0
4091,32,0,68,4.8,3,1,2007,1
5497,26,3,190,2.0,3,1,2002,2
6326,33,4,186,1.5,0,1,2004,0
8627,30,1,95,1.5,3,1,1992,0
8435,29,5,245,1.3,0,1,2007,0
1201,3,3,200,2.0,0,0,2002,2
6238,9,4,150,1.6,3,1,2007,0
8680,25,5,80,2.0,3,1,2008,0
2601,10,3,37,1.5,1,1,2009,0
2782,3,3,190,2.0,3,0,2000,2
5880,13,0,61,2.0,0,1,2012,1
2106,25,3,29,2.0,3,1,2015,0
1291,45,1,112,1.2,3,1,2003,0
6788,2,3,80,2.0,3,1,2013,0
7275,30,2,43,1.0,3,1,2014,0
662,42,3,160,1.5,3,1,2006,0
3514,2,3,360,2.5,0,1,1997,0
958,43,2,120,1.4,3,1,2012,0
1320,2,0,95,3.0,0,1,2014,1
3030,35,3,167,1.2,3,1,2011,0
3581,43,5,140,2.0,0,1,2010,1
8580,28,0,150,3.5,1,1,2005,1
2594,13,1,140,1.6,0,1,2006,0
5967,29,3,300,1.6,3,1,1982,0
2466,40,0,146,2.7,1,1,2006,1
5931,26,2,356,2.3,3,1,1991,2
5009,27,0,0,2.0,3,1,2016,0
5788,25,0,89,3.7,1,1,2008,1
6504,32,0,88,4.8,3,1,2008,1
2180,3,3,256,2.5,0,0,2001,2
5320,10,1,46,0.8,3,1,2014,0
1837,17,0,89,2.2,0,1,2012,1
1252,3,2,5,2.0,3,1,2014,2
5386,43,2,248,1.9,0,1,2010,0
